Product Manufacturer,YoW Product#,YoW Item#,Mfctr. Model No.,Product Code, List Price , DBM , Image Name ,Collection Name,Product Name,Product Name Short,Finish,Product Description, Product Weight ,Bullet #1,Bullet #2,Bullet #3,Bullet #4,Bullet #5,Bullet #6,Bullet #7,Bullet #8,Bullet #9,Bullet #10,Bullet #11,Bullet #12,Bullet #13,UPC,Lead Restriction?,Shipping Method
Pegasus,PEFS1A5067BN,249045,FS1A5067BNV,PE-FS1A5067BNV, 181.25 , N , PE_FS1A5067BNV.jpg ,Luca,"Pegasus FS1A5067BNV Luca Single Bar Faucet, Brushed Nickel Finish",Pegasus FS1A5067BNV Luca Single Bar Faucet,Brushed Nickel,Pegasus Luca Single Bar Faucet in Brushed Nickel # FS1A5067BNV. This High Arc Bar faucet is the perfect choice for your secondary faucet. Its casual design will not only be a conversational piece it will complete the design of your kitchen. Features an 11-3/4-Inch spout height and 1-1/2-Inch maximum deck thickness., 4.00 ,Single Post Mount,"1/2"" IPS Inlets","11-3/4"" Spout Height","7-5/16"" Aerator Clearance","5-1/6"" Spout Reach","1-1/2"" Maximum Deck Thickness",Lever Handle,,,,,,,019934494236,N,UPS
Pegasus,PEFS1A4058BN,273065,FS1A4058BNV,PE-FS1A4058BNV, 181.25 , Y , PE_FS1A4058BNV.jpg ,Asti,"Pegasus FS1A4058BNV Asti Single Bar Faucet, Brushed Nickel Finish",Pegasus FS1A4058BNV Asti Single Bar Faucet,Brushed Nickel,Pegasus Asti Single Bar Faucet in Brushed Nickel # FS1A4058BNV. This Asti bar faucet is the perfect choice for your new bar faucet. Its transitional design will blend in a new kitchen makeover. Matching pull-down kitchen faucet is available., 4.62 ,Single Post Mount,"1/2"" IPS Inlets","12-1/4"" Spout Height","8-7/16"" Aerator Clearance","5-3/16"" Spout Reach","1-9/16"" Maximum Deck Thickness",Lever Handle,,,,,,,019934494397,Y,UPS
Pegasus,PEFR2B8002CP,459713,FR2B8002CP,PE-FR2B8002CP, 292.19 , Y , PE_FR2B8002CP.jpg ,2000 Series,"Pegasus FR2B8002CP 2000 Series Roman Tub Faucet, Chrome Finish",Pegasus FR2B8002CP 2000 Roman Tub Faucet,Chrome,Pegasus 2000 Series Roman Tub Faucet in Chrome # FR2B8002CP. This roman tub faucet features adjustable connections (8-inch to 12-Inch) for standard or custom installations. It has ceramic disc valving assures lifetime drip-free performance and 1/2-Inch threaded connections. 3-Hole installation. IAMPO and NSF Certified., 11.60 ,"1/2"" IPS Inlets","6-2/3"" Spout Height","6"" Spout Reach","2-1/2"" Maximum Deck Thickness",4 GPM @ 20 PSI,S Style Lever Handles,,,,,,,,019934680592,N,UPS
Pegasus,PEFR2B8002BN,459785,FR2B8002BNC,PE-FR2B8002BNC, 303.13 , N , PE_FR2B8002BNC.jpg ,2000 Series,"Pegasus FR2B8002BNC 2000 Series Roman Tub Faucet, Brushed Nickel/Chrome Finish",Pegasus FR2B8002BNC 2000 Roman Tub Faucet,Brushed Nickel/Chrome,Pegasus 2000 Series Roman Tub Faucet in Brushed Nickel/Chrome # FR2B8002BNC. This roman tub faucet features adjustable connections (8-inch to 12-Inch) for standard or custom installations. It has ceramic disc valving assures lifetime drip-free performance and 1/2-Inch threaded connections. 3-Hole installation. IAMPO and NSF Certified., 11.40 ,"1/2"" IPS Inlets","6-2/3"" Spout Height","6"" Spout Reach","2-1/2"" Maximum Deck Thickness",4 GPM @ 20 PSI,S Style Lever Handles,,,,,,,,019934680615,N,UPS
Pegasus,PEFR2B8001PB,459917,FR2B8001PBV,PE-FR2B8001PBV, 257.00 , N , PE_FR2B8001PBV.jpg ,5000 Series,"Pegasus FR2B8001PBV 5000 Series Roman Tub Faucet, Polished Brass Finish",Pegasus FR2B8001PBV 5000 Roman Tub Faucet,Polished Brass,Pegasus 5000 Series Roman Tub Faucet in Polished Brass # FR2B8001PBV. This roman tub faucet features adjustable connections (8-inch to 12-Inch) for standard or custom installations. It has ceramic disc valving assures lifetime drip-free performance and 1/2-Inch threaded connections. 3-Hole installation. IAMPO and NSF Certified., 10.21 ,"1/2"" IPS Inlets","4"" Spout Height","9-1/2"" Spout Reach","2-1/3"" Maximum Deck Thickness",4 GPM @ 20 PSI,S Style Rope Lever Handles,,,,,,,,019934680653,N,UPS
Pegasus,PEFR2B6007RB,594497,FR2B6007RBP,PE-FR2B6007RBP, 331.25 , N , PE_FR2B6007RBP.jpg ,1100 Series,"Pegasus FR2B6007RBP 1100 Series Roman Tub Faucet, Oil Rubbed Bronze Finish",Pegasus FR2B6007RBP 1100 Roman Tub Faucet,Oil Rubbed Bronze,Pegasus 1100 Series Roman Tub Faucet in Oil Rubbed Bronze # FR2B6007RBP. This roman tub faucet features adjustable connections (8-inch to 12-Inch) for standard or custom installations. It has ceramic disc valving assures lifetime drip-free performance and 1/2-Inch threaded connections. 3-Hole installation. IAMPO and NSF Certified., 14.95 ,"1/2"" IPS Inlets","4-25/32"" Spout Height","7-5/8"" Spout Reach",4 GPM @ 20 PSI,Lever Handles,,,,,,,,,019934682510,N,UPS
Pegasus,PEFR2B5001BN,459665,FR2B5001BN,PE-FR2B5001BN, 279.69 , N , PE_FR2B5001BN.jpg ,1000 Series,"Pegasus FR2B5001BN 1000 Series Roman Tub Faucet, Brushed Nickel Finish",Pegasus FR2B5001BN 1000 Roman Tub Faucet,Brushed Nickel,Pegasus 1000 Series Roman Tub Faucet in Brushed Nickel # FR2B5001BN. Features adjustable connections (8-inch to 12-Inch) for standard or custom installations. Ceramic disc valving assures lifetime drip-free performance. It has ceramic disc valving assures lifetime drip-free performance and 1/2-Inch threaded connections. 3-Hole installation. IAMPO and NSF Certified., 11.50 ,"1/2"" IPS Inlets","5"" Spout Height","8"" Spout Reach","2-1/2"" Maximum Deck Thickness",4 GPM @ 20 PSI,Lever Handles,,,,,,,,019934680578,N,UPS
Pegasus,PEFR2B5000CP,527645,FR2B5000CP,PE-FR2B5000CP, 315.63 , N , PE_FR2B5000CP.jpg ,Cottage Series,"Pegasus FR2B50000CP Cottage Series Roman Tub Faucet, Chrome Finish",Pegasus FR2B50000CP Cottage Roman Tub Faucet,Chrome,Pegasus Cottage Series Roman Tub Faucet in Chrome # FR2B50000CP. Features adjustable connections (8-inch to 12-Inch) for standard or custom installations. Ceramic disc valving assures lifetime drip-free performance. 1/2-Inch threaded connections. 3-Hole installation. IAMPO and NSF Certified., 14.40 ,,,,,,,,,,,,,,019934681285,N,UPS
Pegasus,PEFR2B5000BN,527601,FR2B5000BN,PE-FR2B5000BN, 251.00 , Y , PE_FR2B5000BN.jpg ,Cottage Series,"Pegasus FR2B50000BNV Cottage Series Roman Tub Faucet, Brushed Nickel Finish",Pegasus FR2B50000BNV Cottage Roman Tub Faucet,Brushed Nickel,Pegasus Cottage Series Roman Tub Faucet in Brushed Nickel # FR2B50000BNV. Features adjustable connections (8-inch to 12-Inch) for standard or custom installations. Ceramic disc valving assures lifetime drip-free performance. 1/2-Inch threaded connections. 3-Hole installation. IAMPO and NSF Certified., 14.20 ,"1/2"" IPS Inlets","4-25/32"" Spout Height","7-5/8"" Spout Reach",4 GPM @ 20 PSI,Lever Handles,,,,,,,,,019934681292,N,UPS
Pegasus,PEFP4A5000BN,572557,FP4A5000BNV,PE-FP4A5000BNV, 556.25 , N , PE_FP4A5000BNV.jpg ,,"Pegasus FP4A5000BNV Single-Handle Pull-Down Kitchen Faucet, Brushed Nickel Finish",Pegasus FP4A5000BNV Single-Handle Pull-Down Kitchen Faucet,Brushed Nickel,"Pegasus Single-Handle Pull-Down Kitchen Faucet in Brushed Nickel # FP4A5000BNV. Streamlined, 1-piece arc style compliments modern, contemporary kitchens with the added advantage of a single lever for a 1-hand operation. Chrome finish.", 12.35 ,,,,,,,,,,,,,,019934891752,Y,UPS
