Subclass description,ListPrice,ItemNumber,ProductNumber,Product Name,UpcNumber,Image Name,Weight,Description
Toilets,552,257025,2018214178,American Standard 2018214178 Champion 4 Elongated Combination Toilet- Black,033056694510,AS_2002_014-BS.jpg,0,Toilet combination - tank and bowl<br />Everclean surface inhibits the growth of stain and odor-causing bacteria
Toilets,275,635313,3101016020,American Standard 3101016020 Oakmont Champion Right Height Elongated Toilet Bowl Less Seat in White,033056659168,AS_2738_014.jpg,70,Ada elongated toilet bowl only<br />Everclean surface inhibits the growth of stain and odor-causing bacteria
Toilets,275,635341,3177016020,American Standard 3177016020 Townsend Champion Right Height Elongated Seatless Toilet Bowl in White,033056659106,AS_2733_014.jpg,70,Ada elongated toilet bowl only<br />Everclean surface inhibits the growth of stain and odor-causing bacteria
Toilets,344,635321,3101016222,American Standard 3101016222 Oakmont Champion Right Height Elongated Toilet Bowl Less Seat in Linen,033056659212,AS_2738_014.jpg,70,Ada elongated toilet bowl only<br />Everclean surface inhibits the growth of stain and odor-causing bacteria
Toilets,344,635349,3177016222,American Standard 3177016222 Townsend Champion Right Height Elongated Toilet Bowl Less Seat in Linen,033056659151,AS_2733_014.jpg,80.5,Ada elongated toilet bowl only<br />Everclean surface inhibits the growth of stain and odor-causing bacteria
Toilets,340,82457,2386012WH,American Standard 2386012WH Cadet 3 Right Height Elongated Toilet- White,033056674512,AS_Cadet3EL.jpg,78,2-piece design features a separate tank and bowl<br />Elongated bowl for greater comfort<br />EverClean?surface inhibits the growth of stain and odor-causing bacteria<br />
Toilets,290,446153,2832128020,American Standard 2832128020 Cadet 3 FloWise Elongated Toilet- High Efficiency- Certified in EPA WaterSense Program,033056718476,AS_2835_128_020.jpg,73,Combination toilet tank and bowl<br />Elongated high efficiency
Toilets,498,572781,2405016WH,American Standard 2405016WH Retrospect Right Height Elongated Toilet - White,033056616147,AS_2405_016.jpg,89,ADA elongated toilet combination - tank and bowl<br />AquaForce flushing system features 2 flush valve<br />Seat not included<br />Vitreous china<br />100% factory flush tested
Toilets,178,641049,3018013020,American Standard 3018013020 FloWise Elongated High Efficiency Toilet Bowl in White.,033056658321,AS_2073_014.jpg,50,Elongated toilet bowl only<br />High efficiency
Toilets,368,257033,2073014020,American Standard 2073014020 Flowise High Efficiency Elongated Toilet- Ultra Low Consumption - White,033056694527,AS_2073_014.jpg,0,Elongated toilet combination - tank and bowl<br />Siphon action jetted bowl for a better flush<br />Ultra low consumption at 1.28 GPF<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,895,494518,2847016020,American Standard 2847016020 Town Square RH EL One Piece Toilet- Concealed Trapway- Matching Trip Lever- Includes Seat- White,033056815663,AS_2847_128_002.jpg,129,Elongated siphon action bowl with smooth-sided<br />
Toilets,258,635365,3180016021,American Standard 3180016021 Townsend Champion Right Height Round Front Seatless Toilet Bowl in Bone,033056659052,AS_2735_014.jpg,70,Round front toilet bowl only<br />Everclean surface inhibits the growth of stain and odor-causing bacteria
