SKU;UPC;ProductName;Description;Price;Category;Attribute;MetaTitle;MetaDescription;MetaKeywords;Qty;Stock;Managestock;BaseImage;Weight;is_processed;ShortDescr
"PR-99";"";"Allied Brass PR-99 Prestige Regal Shower Curtain Rod Brackets PR-99";"";"62.5000";"";"";"";"";"";"9999";"In Stock";"No";"PR-99-M-L.jpg";"0.00";"1";"<p><strong>When you know that every detail is what completes a look these Allied Brass Prestige Regal Shower Curtain Rod Brackets PR-99 (Model PR-99) are the perfect choice for succeeding in meeting that goal.</strong> Whether your décor preference is one of a rustic style or traditional (and anything in between) these shower curtain brackets fit the bill in every way. The shower curtain rod is sold separately and not included. While perusing your choices in those special details that make your bathroom all you want it to be, the choices available for matching right down to the handles on your cabinets are all right here. Not only is detail important, but matching accessories is the ultimate in creating a bathroom that conveys the feeling you’re striving for. For making your choices even easier, there is a variety of finishes available as well. <strong>There’s nothing like one stop shopping for bringing together your dream bathroom for years of pleasure and style.</strong></p>"
"QN-98";"";"Allied Brass QN-98 Que New Collection Shower Rod Brackets";"";"26.2500";"";"";"";"";"";"9999";"In Stock";"No";"QN-98-M-L.jpg";"0.00";"1";"<p><strong>If you are looking forward to create a perfect bathroom, give your attention to small details as well</strong> - like choosing the form and finish of custom made vanity handles or buying a curtain rod that will match those handles, even you have to pay attention to those tiny details like buying brackets for your certain rod. For that reason we have created a series of bathroom accessories that will make your bathroom a perfect place. <strong>Check out this example of Que New Collection Shower Rod Brackets (model QN-98) brought to you by an american manufacturer - Allied Brass. Available in a variety of stunning finishes to compliment your bathroom decor.</strong> Please note that shower rod is not included and is sold separately.</p>"
"QN-99";"";"Allied Brass QN-99 Que New Shower Curtain Rod Brackets";"";"62.5000";"";"";"";"";"";"9999";"In Stock";"No";"QN-99-M-L.jpg";"0.00";"1";"<p><strong>Not only is a smooth flowing look important to the appearance of any bathroom, but the detail these Allied Brass Que New Shower Curtain Rod Brackets (Model QN-99) provide are like the icing on the cake of decorating success.</strong> Whether you’re decorating a brand new bathroom or changing the look of your existing bath, your search for the perfect accessories is over here and now. If you want to create a bathroom atmosphere that says classic and smooth or one that speaks of modern technology in modern lines, these shower curtain rod brackets will meet and exceed your desires as well as your needs. They’re crafted from only the best materials available by people who care about quality and function giving you years of worry free use. The array of finishes available for your choosing make the choices and designing of your bathroom all the easier. <strong>Enjoy your new bathroom with the class and function you deserve.</strong></p>"
"SH-27";"";"Allied Brass SH-27 Soho Free Standing Toilet Tissue Holder";"<ul>
<li>Height - 26 inches</li>
</ul>";"167.5000";"";"";"";"";"";"9999";"In Stock";"No";"SH-27-M-L.jpg";"0.00";"1";"<p><strong>How amazing that a simple bathroom necessity can be turned into a virtual work of art. This Allied Brass Soho Free Standing Toilet Tissue Holder (Model SH-27) speaks of style and class while accommodating the needs of what is not normally an accessory that one wants to bring attention to.</strong> Whether your bathroom décor is on the classic end or one of modern lines, this free standing toilet tissue holder is a gorgeous compliment. With a tasteful array of choices in finish, you’re ensured a perfect match to your décor without having to look far at all. Anyone who enters your bathroom will be impressed by the obvious attention to detail that went into providing convenience that’s pleasing to the eye as well. Constructed from quality materials, it’s designed to last for years while still speaking of taste in terms of style.</p>"
"TS-24C";"";"Allied Brass TS-24C Toilet Tissue Stand TS-24C";"<ul>
<li>Reeded Tubing - 3/4 inches</li>
<li>Height - 26 inches</li>
<li>Diameter - 6 inches</li>
</ul>";"122.5000";"";"";"";"";"";"9999";"In Stock";"No";"TS-24C-M-L.jpg";"0.00";"1";"<p><strong>When it’s grace and elegance you want to convey within the walls of your bathroom you have the perfect compliment in this Allied Brass Toilet Tissue Stand (Model TS-24C).</strong> Standing 26 inches in height and available in a fantastic array of finishes it’s the perfect choice for providing a need while still adding a touch of art to the equation. With the base made from forged brass that resists denting, you know the construction is of the highest quality. From every angle this toilet tissue stand has an appearance that is almost regal lending an air of sophistication to the overall look of your bathroom. While it’s big on convenience it doesn’t take up valuable space, but instead adds to the smooth flowing appearance you’re looking for. <strong>Whatever your taste in décor, you’re sure to find the perfect fit and finish with this gorgeous toilet tissue holder.</strong></p>"
"WP-91";"";"Allied Brass WP-91 Waverly Place Oval Tilt Mirror";"<ul>
<li>Height - 29 inches</li>
<li>Width - 21 inches</li>
</ul>";"167.5000";"";"";"";"";"";"9999";"In Stock";"No";"WP-91-M-L.jpg";"0.00";"1";"<p><strong>When convenience and style are equally important this Allied Brass Waverly Place Oval Tilt Mirror (Model WP-91) will more than meet your expectations. Featuring a gorgeous touch with the beveled edges and oval shape, this mirror is a stunning compliment to any bathroom.</strong> The decorative wall brackets are the perfect finishing touch that lends an air of charm yet class all at the same time. Shown here is the polished chrome finish, but there is a tasteful variety of other finishes available that makes your decorating time one of pleasure rather than tedium. So whatever your decorating tastes may be in bathroom accessories, you have found a mirror that is capable of complimenting one of modern lines or traditional flair. <strong>With quality construction and style in the equation you can be confident that you have years of enjoyment and function ahead of you in this fantastic oval tilt mirror.</strong></p>"
"WP-92";"";"Allied Brass WP-92 Waverly Place Rectangular Tilt Mirror";"<ul>
<li>Height - 26 inches</li>
<li>Width - 21 inches</li>
</ul>
";"167.5000";"";"";"";"";"";"9999";"In Stock";"No";"WP-92-M-L.jpg";"0.00";"1";"<p><strong>Anyone who enters your bathroom will be struck by the sheer elegance of this Allied Brass Waverly Place Rectangular Tilt Mirror (Model WP-92). What adds to the charm of this rectangular tilt mirror is the conveniences afforded with the tilt feature making your personal primp time easier than ever.</strong> The wall brackets add a touch of style not expected in such a bathroom necessity while bringing a different flavor to the look and still functioning at its optimum performance level. In addition to its convenience is the fact that fitting it into any décor of your choosing is a smooth transition with 13 finished to choose from. With a total package of convenience, quality construction and the ultimate in style you’re ensured years of pleasurable use and durability with this gorgeous rectangular tilt mirror.</p>"
"WP-93";"";"Allied Brass WP-93 Waverly Place Landscape Rectangular Mirror";"<ul>
<li>Height - 26 inches</li>
<li>Width - 22 inches</li>
</ul>";"167.5000";"";"";"";"";"";"9999";"In Stock";"No";"WP-93-M-L.jpg";"0.00";"1";"<p><strong>The look that the beveled edge and brass hardware lend to this stunning Allied Brass Waverly Place Landscape Rectangular Mirror (Model WP-93) is nothing short of grand.</strong> Giving your bathroom a look that says class and sophistication, this mirror is even capable of adding just the right touch to a bathroom of country taste as well. Allowing for a variety of viewing angles the mirror also tilts, now that’s a fantastic marriage of convenience and style one doesn’t see very often. Available for your choosing is 13 different finishes adding to your décor possibilities. Topping it all off is the included mounting hardware so installation is easier and quicker than ever. <strong>Whether you’re creating a bathroom remodel or constructing one that’s brand new, all your needs and decorating desires are met in this very classy landscape rectangular mirror.</strong></p>"
"WP-94";"";"Allied Brass WP-94 Waverly Place Arched Top Mirror";"<ul>
<li>Height - 26 inches</li>
<li>Width - 22 inches</li>
</ul>";"167.5000";"";"";"";"";"";"9999";"In Stock";"No";"WP-94-M-L.jpg";"0.00";"1";"<p><strong>This Allied Brass Waverly Place Arched Top Mirror (Model WP-94) is an absolutely stunning addition to any bathroom. With the capability of tilting and measuring at 22” wide x 26” long it’s the ultimate in convenience.</strong> The hardware is solid brass speaking of the quality construction and materials that goes into crafting such a stunning mirror. There are 13 different finishes to choose from making your décor choices easier than ever. Whether your goal is to create an atmosphere of grandeur and elegance or one that’s of a whimsy and charming nature, this mirror will meet your expectation in design and style. All mounting hardware is included so your transition to the perfect mirror to compliment your bathroom is one of ease and convenience. The beveled edge is just the perfect way to complete the look of this very tasteful mirror. <strong>Every time you enter your bathroom stop and enjoy the sheer beauty of this stunning arched top mirror.</strong></p>"
"WP-98";"";"Allied Brass WP-98 Waverly Place Shower Curtain Rod Brackets";"";"36.2500";"";"";"";"";"";"9999";"In Stock";"No";"WP-98-M-L.jpg";"0.00";"1";"<p><strong>When it comes to finding the perfect detail to complete the look of your dream bathroom these Allied Brass Waverly Place Shower Curtain Rod Brackets (Model WP-98) bring that search to a pleasurable ending.</strong> The nice thing is the pleasure has just begun with years of quality construction and impeccable style ahead. Available in 13 different finishes, your taste in design and style will surely be met, making certain that right down to the last detail your desires are brought to fruition. Whether your preference is for old world charm or ultra modern lines (and anything in between) these shower curtain brackets are the perfect compliment. It’s wonderful to find those little details that can make such a big impact in showcasing your taste and attention to detail that extracts murmurs of approval from each and every visit to your bathroom. <strong>Feel free to pamper your self with these stunning shower curtain rod brackets that will remain a pleasure to behold for years to come.</strong></p>"
