attribute_set,Brand,Product Name,Color,sink Depth,ada_compliant,Sink_material,number_basins,sink_size(dimentions txt),faucet_holes,Kitchen Sink Style,Kitchen Sink Type,Kitchen Sink Width,Kitchen Sink Length,Kitchen Sink Depth,Kitchen Sink Shape,SKU,MODEL NUMBER,PRODUCT DESCRIPTION,upc_code,Price,Category,Category,Category,Category,Category,Category,weight,qty,product image File
Kitchen Sinks ,Whitehaus,Whitehaus WHQDB332-BL 33 Inch Quatro Alcove Reversible Double Bowl Fireclay Kitchen Sink with a Fluted Front Apron,Black,,,Fireclay,,20 inches L x 33 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQDB332-BL,WHQDB332-BL,Quatro Alcove Reversible double bowl fireclay sink with a decorative 2 1/2 inch lip on one side and 2 inch lip on the other<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Center wall has slightly scooped shape<br />Matching stainless steel grid: GR532<br />,,1595,,,,,,,90,,WHQDB332.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQDB332-SB 33 Inch Quatro Alcove Reversible Double Bowl Fireclay Kitchen Sink with a Fluted Front Apron,Saphire Blue,,,Fireclay,,20 inches L x 33 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQDB332-SB,WHQDB332-SB,Quatro Alcove Reversible double bowl fireclay sink with a decorative 2 1/2 inch lip on one side and 2 inch lip on the other<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Center wall has slightly scooped shape<br />Matching stainless steel grid: GR532<br />,,1595,,,,,,,90,,WHQDB332.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ330-W 30 Inch Quatro Alcove Reversible Fireclay Kitchen Sink with a Fluted Front Apron,White,,,Fireclay,,20 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQ330-W,WHQ330-W,Quatro Alcove Reversible fireclay sink with a decorative 2 1/2 inch lip on one side and 2 inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2514<br />,,1300,,,,,,,75,,WHQ330.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ330-B 30 Inch Quatro Alcove Reversible Fireclay Kitchen Sink with a Fluted Front Apron,Biscuit,,,Fireclay,,20 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQ330-B,WHQ330-B,Quatro Alcove Reversible fireclay sink with a decorative 2 1/2 inch lip on one side and 2 inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2514<br />,,1355,,,,,,,75,,WHQ330.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ330-BL 30 Inch Quatro Alcove Reversible Fireclay Kitchen Sink with a Fluted Front Apron,Black,,,Fireclay,,20 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQ330-BL,WHQ330-BL,Quatro Alcove Reversible fireclay sink with a decorative 2 1/2 inch lip on one side and 2 inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2514<br />,,1395,,,,,,,75,,WHQ330.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ330-SB 30 Inch Quatro Alcove Reversible Fireclay Kitchen Sink with a Fluted Front Apron,Saphire Blue,,,Fireclay,,20 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQ330-SB,WHQ330-SB,Quatro Alcove Reversible fireclay sink with a decorative 2 1/2 inch lip on one side and 2 inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2514<br />,,1395,,,,,,,75,,WHQ330.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHNAPCV3218 32 Inch Noahs Collection Chefhaus Single Bowl Front-Apron Undermount Sink with a Curved Design,Stainless Steel,,,Stainless Steel,,16 inches L x 31.625 inches W x 8 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHNAPCV3218,WHNAPCV3218,Chefhaus single bowl Front-Apron undermount sink with a curved design.<br />16 gauge- 304 series stainless steel.<br />16 gauge front-apron with 4 inch return.<br />18/8 chrome and nickel content.<br />Full undercoat over sound deadening pads.<br />4 diagonal drain grooves.<br />1 inch radius corners.<br />3 1/2 inch rear center drain opening.,,2600,,,,,,,44,,WHNAPCV3218.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHNC1517 15 Inch Noahs Collection Chefhaus Single Bowl Undermount Sink,Stainless Steel,,,Stainless Steel,,13.375 inches L x 15.75 inches W x 8.25 inches H,,,Undermount / Undercounter,0 to 20 Inches,15 to 20 Inches,,,WHNC1517,WHNC1517,Chefhaus single bowl undermount sink<br />18 gauge- 304 series stainless steel.<br />18/8 chrome and nickel content.<br />Full undercoat over sound deadening pads.<br />4 diagonal drain grooves.<br />Zero radius corners.<br />3 1/2 inch rear center drain opening.<br />Includes mounting hardware and a template. ,,510,,,,,,,20,,WHNC1517.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHNC2321 23 Inch Noahs Collection Chefhaus Single Bowl Undermount Sink,Stainless Steel,,,Stainless Steel,,18.625 inches L x 21 inches W x 9 inches H,,,Undermount / Undercounter,20 to 25 Inches,15 to 20 Inches,,,WHNC2321,WHNC2321,Chefhaus single bowl undermount sink<br />16 gauge- 304 series stainless steel.<br />18/8 chrome and nickel content.<br />Full undercoat over sound deadening pads.<br />4 diagonal drain grooves.<br />1 inch radius corners.<br />3 1/2 inch rear center drain opening.<br />Includes mounting hardware and a template.,,890,,,,,,,28,,WHNC2321.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHNC2917 30 Inch Noahs Collection Chefhaus Double Bowl Undermount Sink,Stainless Steel,,,Stainless Steel,,17.375 inches L x 29.5 inches W x 8.25 inches H,,,Undermount / Undercounter,25 to 30 Inches,15 to 20 Inches,,,WHNC2917,WHNC2917,Chefhaus double bowl undermount sink<br />18 gauge- 304 series stainless steel.<br />18 gauge- 304 series stainless steel.<br />Full undercoat over sound deadening pads.<br />4 diagonal drain grooves.<br />Zero radius corners.<br />3 1/2 inch rear center drain opening / Left Bowl.<br />3 1/2 inch rear center drain opening / Right Bowl.,,885,,,,,,,36,,WHNC2917.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHNC3220 32 Inch Noahs Collection Chefhaus Double Bowl Undermount Sink,Stainless Steel,,,Stainless Steel,,19.875 inches L x 31.875 inches W x 9 inches H,,,Undermount / Undercounter,30 to 35 Inches,15 to 20 Inches,,,WHNC3220,WHNC3220,Chefhaus double bowl undermount sink<br />16 gauge- 304 series stainless steel.<br />18/8 chrome and nickel content.<br />Full undercoat over sound deadening pads.<br />4 diagonal drain grooves.<br />1 inch radius corners.<br />3 1/2 inch rear center drain opening / Left Bowl.<br />3 1/2 inch rear center drain opening / Right Bowl.,,1305,,,,,,,42,,WHNC3220.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHNC3721 37 Inch Noahs Collection Chefhaus Double Bowl Undermount Sink,Stainless Steel,,,Stainless Steel,,20.875 inches L x 36.875 inches W x 9 inches H,,,Undermount / Undercounter,35 to 40 Inches,15 to 20 Inches,,,WHNC3721,WHNC3721,Chefhaus double bowl undermount sink<br />16 gauge- 304 series stainless steel.<br />18/8 chrome and nickel content.<br />Full undercoat over sound deadening pads.<br />4 diagonal drain grooves.<br />1 inch radius corners.<br />3 1/2 Left Bowl and Right Bowl<br />Includes mounting hardware and a template.,,1420,,,,,,,48,,WHNC3721.jpg
