SKU;UPC;ProductName;Description;Price;Category;Attribute;MetaTitle;MetaDescription;MetaKeywords;Qty;Stock;Managestock;BaseImage;Weight;is_processed;Manufacturer;YOW_SKU
MAT150ATC;8,41248E+11;"Fusion Hardware MAT150ATC DAISY SHOWER HEAD 4"" - MATCHING - ANTIQUE COPPER";"Finish Matching Items.<br><ul><li>4"" diameter Showerhead</li><li>60 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";95,984;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469906
SHRSPOUTR;8,41248E+11;"Fusion Hardware SHRSPOUTR SHOWER ARM WITH FLANGE - 12"" RIGHT ANGLE ARM - ANTIQUE COPPER";"Finish Matching Items.<br><ul><li>Sturdy Brass Arm</li><li>12 inches long with a 90 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";46,49225;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469925
SHRSPOUTSA;;"Fusion Hardware SHRSPOUTSA SHOWER ARM WITH FLANGE - 14"" S SHAPED EXTENSION - ANTIQUE COPPER";Finish Matching Items.<br><ul><li>Allows for Downward Projection of Showerhead from a standard installation height</li><li>Sturdy Brass Arm</li><li>Complete with Matching Escutcheon Trim</li></ul>;71,238125;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;471609
SHRSPTSTPV;8,41248E+11;Fusion Hardware SHRSPTSTPV STANDARD SHOWER SPOUT WITH ESCUTCHEON - PVD BRASS;"Finish Matching Items.<br><ul><li>Sturdy Brass Construction</li><li>6 inches with 45 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";26,245625;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469990
SHRSPOUTPV;8,41248E+11;"Fusion Hardware SHRSPOUTPV SHOWER ARM WITH FLANGE - 12"""" RIGHT ANGLE ARM - PVD BRASS";"Finish Matching Items.<br><ul><li>Sturdy Brass Arm</li><li>12 inches long with a 90 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";46,49225;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469962
SHRSPTSTMD;8,41248E+11;Fusion Hardware SHRSPTSTMD STANDARD SHOWER SPOUT WITH ESCUTCHEON - MEDIUM BRONZE;"Finish Matching Items.<br><ul><li>Sturdy Brass Construction</li><li>6 inches with 45 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";26,245625;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469986
SHRSPOUTDK;8,41248E+11;"Fusion Hardware SHRSPOUTDK SHOWER ARM WITH FLANGE - 12"" RIGHT ANGLE ARM - DARK BRONZE";"Finish Matching Items.<br><ul><li>Sturdy Brass Arm</li><li>12 inches long with a 90 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";46,49225;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469947
SHRSPOUTRA;8,41248E+11;"Fusion Hardware SHRSPOUTRA SHOWER ARM WITH FLANGE - 12"" RIGHT ANGLE ARM - ANTIQUE PEWTER";"Finish Matching Items.<br><ul><li>Sturdy Brass Arm</li><li>12 inches long with a 90 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";46,49225;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469932
SHRSPTATC;8,41248E+11;Fusion Hardware SHRSPTATC STANDARD SHOWER SPOUT WITH ESCUTCHEON - ANTIQUE COPPER;"Finish Matching Items.<br><ul><li>Sturdy Brass Construction</li><li>6 inches with 45 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";26,245625;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469981
SHRSPTATP;8,41248E+11;Fusion Hardware SHRSPTATP STANDARD SHOWER SPOUT WITH ESCUTCHEON - ANTIQUE PEWTER;"Finish Matching Items.<br><ul><li>Sturdy Brass Construction</li><li>6 inches with 45 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";26,245625;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469982
