SKU;UPC;ProductName;Description;Price;Category;Attribute;MetaTitle;MetaDescription;MetaKeywords;Qty;Stock;Managestock;BaseImage;Weight;is_processed
"3322-8MF-36";"881208022458";"Houzer 3322-8MF-36 Glowtone Double Bowl Eight Inches Deep Four Holes";"Classic look of the double-equal bowl. 33"" x 22"" overall dimension with a 8"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 14""x15.75""x8"" deep.</li><li>Lustrous Satin Finish, High polished deck, and sound absorbing pads</li><li>Accessories: BG-3100, CB-2500, CB-3100, RB-3100</li><li>20 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"140,4375";"";"";"";"";"";"9999";"In Stock";"No";"33228MF.jpg";"1.00";"1"
"3322-9BS3-20";"881208021451";"Houzer 3322-9BS3-20 Glowtone Double Bowl Nine Inches Deep Three Holes";"Specification-grade in a deeper heavy 18 gauge construction for demanding homeowners. 33"" x 22"" overall dimension with a 9"" depth. Available in 3 or 4 hole<br><ul><li>Mounting clips included</li><li>Each bowl 14""x15.75""x9"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and StoneGuard undercoating over sound absorbing pad</li><li>Accessories: BG-3100, CB-2500, CB-3100, RB-3100</li><li>18 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"243,1575";"";"";"";"";"";"9999";"In Stock";"No";"33229BS3.jpg";"1.00";"1"
"3322-9BS4-20";"881208021468";"Houzer 3322-9BS4-20 Glowtone Double Bowl Nine Inches Deep Four Holes";"Specification-grade in a deeper heavy 18 gauge construction for demanding homeowners. 33"" x 22"" overall dimension with a 9"" depth. Available in 3 or 4 hole<br><ul><li>Mounting clips included</li><li>Each bowl 14""x15.75""x9"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and StoneGuard undercoating over sound absorbing pad</li><li>Accessories: BG-3100, CB-2500, CB-3100, RB-3100</li><li>18 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"243,1575";"";"";"";"";"";"9999";"In Stock";"No";"33229BS4.jpg";"1.00";"1"
"A1722-7BS-40";"881208028115";"Houzer A1722-7BS-40 Glowtone ADA Prep Bowl Six and a Half Inches Deep Three Holes";"ADA Compliant compact single bowl for small kitchen areas or wash-up stations. 17"" x 22"" overall dimension with a 6-1/2"" depth. 22 gauge. Available with 3 holes. Fits 21"" cabinets<br><ul><li>Mounting clips included</li><li>Bowl 14""x15.75""x6.5"" deep.</li><li>Lustrous Satin Finish, High polished deck, and StoneGuard undercoating over sound absorbing pad</li><li>Accessories: BG-3100, CB-3100</li><li>22 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"92,61";"";"";"";"";"";"9999";"In Stock";"No";"A17227BS.jpg";"1.00";"1"
"A2522-65BS3-20";"881208028139";"Houzer A2522-65BS3-20 Glowtone ADA Single Bowl Six and a Half Inches Deep Three Holes";"ADA Compliant single bowl with style and easy access. 25"" x 22"" overall dimension with a 6-1/2"" depth. 18 gauge. Available with 3 or 4 holes. Fits 30"" cabinets<br><ul><li>Mounting clips included</li><li>Bowl 21""x15.75""x6.5"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and StoneGuard undercoating over sound absorbing pad</li><li>Accessories: BG-2500, CB-2500, RB-2500</li><li>18 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"265,425";"";"";"";"";"";"9999";"In Stock";"No";"A252265BS3.jpg";"1.00";"1"
"A2522-65BS4-20";"881208028153";"Houzer A2522-65BS4-20 Glowtone ADA Single Bowl Six and a Half Inches Deep Four Holes";"ADA Compliant single bowl with style and easy access. 25"" x 22"" overall dimension with a 6-1/2"" depth. 18 gauge. Available with 3 or 4 holes. Fits 30"" cabinets<br><ul><li>Mounting clips included</li><li>Bowl 21""x15.75""x6.5"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and StoneGuard undercoating over sound absorbing pad</li><li>Accessories: BG-2500, CB-2500,  RB-2500</li><li>18 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"265,425";"";"";"";"";"";"9999";"In Stock";"No";"A252265BS4.jpg";"1.00";"1"
"A3322-65BS3-20";"881208028177";"Houzer A3322-65BS3-20 Glowtone ADA Single Bowl Six and a Half Inches Deep Three Holes";"ADA Compliant. Efficient and attractive double bowl. 33"" x 22"" overall dimension with a 6-1/2"" depth. 18 gauge. Available with 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 14""x15.75""x6.5"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and StoneGuard undercoating over sound absorbing pad</li><li>Accessories: BG-3100, CB-2500, CB-3100, RB-3100</li><li>18 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"376,6125";"";"";"";"";"";"9999";"In Stock";"No";"A332265BS3.jpg";"1.00";"1"
"A3322-65BS4-20";"881208028191";"Houzer A3322-65BS4-20 Glowtone ADA Single Bowl Six and a Half Inches Deep Four Holes";"ADA Compliant. Efficient and attractive double bowl. 33"" x 22"" overall dimension with a 6-1/2"" depth. 18 gauge. Available with 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 14""x15.75""x6.5"" deep. </li><li>Lustrous Satin Finish, Highlighted rim, and StoneGuard undercoating over sound absorbing pad</li><li>Accessories: BG-3100, CB-2500, CB-3100, RB-3100</li><li>18 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"376,6125";"";"";"";"";"";"9999";"In Stock";"No";"A332265BS4.jpg";"1.00";"1"
"CF-1830-40";"881208013654";"Houzer CF-1830-40 Club Undermount Round Bar/ Prep Sink";"Soft, simple lines make it a pleasant addition to any bar. Flat bottomed for stemware. 17-1/2"" overall dimension with a 7"" depth. 18 gauge, 3-1/2"" drain opening.Fits 24"" cabinets<br><ul><li>Mounting clips included</li><li>Bowl 15.25"" diameter x7"" deep.</li><li>Lustrous Satin Finish, SpecPlus edge, StoneGuard undercoating over sound absorbing pad</li><li>Accessories: BG-1800 CB-1800</li><li>18 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"146,52";"";"";"";"";"";"9999";"In Stock";"No";"CF1830.jpg";"1.00";"1"
"CH-1800-40";"881208013852";"Houzer CH-1800-40 Opus Undermount Lavatory Bowl";"It has it all - classic curves, beautiful lines, and a lustrous shine. 15-1/2"" x 11-3/8"" inner dimension with a 6"" depth. 1-1/2"" drain opening with or without overflow hole. Fits 21"" cabinets.<br><ul><li>Mounting clips and template included</li><li>Bowl 15.5"" W x 11.375"" H x 6"" deep.</li><li>Lustrous Satin Finish, SpecPlus edge, StoneGuard undercoating</li><li>18 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"149,7375";"";"";"";"";"";"9999";"In Stock";"No";"CH1800.jpg";"1.00";"1"
