Brand,Title,att,Model,SKU,UPC,Color,MSRP,Item Width,Item Height,Item Length,Item Weight,Description,Image URL
Alfi,Alfi AB2034 Solid Stainless Steel Pull Down Single Hole Kitchen Faucet,Kitchen Faucets,AB2034,AB2034,628586238985,Brushed Nickel,420,,17.125,,6.8,"LEON kitchen faucets by ALFI brand are made of solid stainless steel, unlike traditional faucets which are made out of brass and treated to created different finishes. These faucets are built tough and made to last for decades, both durability and looks.<br />Features a pull down spray head with shower spray mode.<br />One handed control valve. Pull to the right to control pressure, push front and back for water temperature. Indicated by a small
blue and red dot. <br />SOLID STAINLESS STEEL faucet made of the highest quality material, designed to last.<br />As this faucet is made of pure stainless steel inside and out it comes in only one finish which looks just like brushed nickel
also known as a stainless steel finish. <br />Cartridge Type: KEROX K35A 35mm<br />Compliant with the new lead free legislation AB1953 effective in CA & VT.<br />",AB2034.jpg
Alfi,Alfi AB2038 Solid Stainless Steel Retractable Single Hole Kitchen Faucet ,Kitchen Faucets,AB2038,AB2038,628586238992,Brushed Nickel,350,,12.125,,5.2,"LEON kitchen faucets by ALFI brand are made of solid stainless steel, unlike traditional faucets which are made out of brass and treated to created different finishes. These faucets are built tough and made to last for decades, both durability and looks.<br />Fully retractable design allows you to fold and tuck your faucet back when not in use.<br />Cool new design makes this faucet look like a pot filler. In fact it is a fully functioning kitchen faucet with hot and cold water all
controlled by a single lever. <br />One handed control valve. Pull to the right to control pressure, push front and back for water temperature. Indicated by a small
blue and red dot. <br />SOLID STAINLESS STEEL faucet made of the highest quality material, designed to last.<br />As this faucet is made of pure stainless steel inside and out it comes in only one finish which looks just like brushed nickel
also known as a stainless steel finish. <br />Cartridge Type: KEROX K35A 35mm<br />Compliant with the new lead free legislation AB1953 effective in CA & VT.",AB2038.jpg
Alfi,Alfi AB2039 Solid Stainless Steel Commercial Spring Kitchen Faucet ,Kitchen Faucets,AB2039,AB2039,628586239005,Brushed Nickel,460,,24.25,,9,"LEON kitchen faucets by ALFI brand are made of solid stainless steel, unlike traditional faucets which are made out of brass and treated to created different finishes. These faucets are built tough and made to last for decades, both durability and looks.<br />Commercial style kitchen faucet with spring and arm to hold the head which can be pulled down to wash large areas.<br />One handed control valve. Pull to the right to control pressure, push front and back for water temperature. Indicated by a small
blue and red dot. <br />SOLID STAINLESS STEEL faucet made of the highest quality material, designed to last.<br />As this faucet is made of pure stainless steel inside and out it comes in only one finish which looks just like brushed nickel
also known as a stainless steel finish. <br />Cartridge Type: KEROX K35A 35mm<br />Compliant with the new lead free legislation AB1953 effective in CA & VT.<br />",AB2039.jpg
Alfi,Alfi AB5004 Solid Stainless Steel Modern Soap Dispenser,Default,AB5004,AB5004,628586239029,Brushed Nickel,55,,2.5,,0.8,"LEON kitchen faucets by ALFI brand are made of solid stainless steel, unlike traditional faucets which are made out of brass and treated to created different finishes. These faucets are built tough and made to last for decades, both durability and looks.<br />The best soap dispenser you will ever own. Solid construction with a simple and convenient design makes this dispenser a hit.<br />Refillable from the top. This soap dispenser can be refilled with soap quick and easy by simply lifting the top part of to pour the
soap in. So you never need to access the bottle from underneath. <br />SOLID STAINLESS STEEL soap dispenser made of the highest quality material, designed to last.<br />As this soap dispenser is made of pure stainless steel inside and out it comes in only one finish which looks just like brushed nickel
also known as a stainless steel finish. <br />Bottle capacity 12 fl oz.<br /><br />",AB5004.jpg
Alfi,Alfi AB2040 Solid Stainless Steel Kitchen Faucet with Built in Water Dispenser,Default,AB2040,AB2040,628586239012,Brushed Nickel,420,,6.875,,7,"LEON kitchen faucets by ALFI brand are made of solid stainless steel, unlike traditional faucets which are made out of brass and treated to created different finishes. These faucets are built tough and made to last for decades, both durability and looks.<br />Features a built in water dispesner, this fancy faucet has two handles and two spouts built into one, designed to save you countertop space.<br />SOLID STAINLESS STEEL faucet made of the highest quality material, designed to last.<br />As this faucet is made of pure stainless steel inside and out it comes in only one finish which looks just like brushed nickel
also known as a stainless steel finish. <br />Cartridge Type: KEROX K35A 35mm<br />Compliant with the new lead free legislation AB1953 effective in CA & VT.<br /><br />",AB2040.jpg
Alfi,Alfi AB5008 Solid Stainless Steel Drinking Water Dispenser,Default,AB5008,AB5008,628586239036,Brushed Nickel,150,,11.875,,2,"LEON kitchen faucets by ALFI brand are made of solid stainless steel, unlike traditional faucets which are made out of brass and treated to created different finishes. These faucets are built tough and made to last for decades, both durability and looks.<br />Large goose neck apout style water dispenser with large convenient handle.<br />SOLID STAINLESS STEEL water dispenser made of the highest quality material, designed to last.<br />Water purification system sold separately.<br />Designed to match any of the LEON series faucets by ALFI brand.<br /><br /><br />",AB5008.jpg
Alfi,"Alfi LED5001 LED5001 8"" Square Multi Color LED Rain Shower Head","Showerheads, Arms and Flangers",LED5001,LED5001,628586614703,Chrome,170,8,0.5,8,3,"Turn on the fun in your shower just by turning on the water, the LED lights will automatically light up and set the mood. They will even change colors automatically based on the water temperature. All this with no batteries, everything is self-powered by a built in dynamo that takes advantage of the water pressure to create the energy to light the bulbs. <br />No Batteries! This high tech rain shower head powers the LED lights using a built in hidden dynamo. The lights will automatically turn on when water pressure is turned on. The lights will dim and brighten when you lower and raise the pressure. So you can set the perfect mood, water & light. <br />Auto Temperature Detected Light Color Change! The shower head will automatically change colors according to the temperature of the water. So you always know how the water will feel on your skin just by looking at it.
- When water temperature is below 113'F lights glow BLUE.
- When water temperature is between 114'F - 121'F lights glow RED.
- When water temperature is over 122'F lights flash RED.<br />Never be scalded again by entering a shower that is just too hot!<br />Standard size. Replace your old shower head with this exciting new product. The threading is universal so it will fit any standard shower head by simply unscrewing the old one by hand and attaching the new one. A shower arm is not included. This head can be used with either wall or cieling mounter arm.<br />Modern Stylish Design. Completely polished chrome made to match or stand out from your other bathroom fixtures.<br />High Quality. This modern shower head is made out of brass, not plastic, so its made to last, not just to look good.
<br />",LED5001.jpg
Alfi,"Alfi LED5002 LED5002 8"" Round Multi Color LED Rain Shower Head","Showerheads, Arms and Flangers",LED5002,LED5002,628586614710,Chrome,170,8,0.33,8,2,"Turn on the fun in your shower just by turning on the water, the LED lights will automatically light up and set the mood. They will even change colors automatically based on the water temperature. All this with no batteries, everything is self-powered by a built in dynamo that takes advantage of the water pressure to create the energy to light the bulbs. <br />No Batteries! This high tech rain shower head powers the LED lights using a built in hidden dynamo. The lights will automatically turn on when water pressure is turned on. The lights will dim and brighten when you lower and raise the pressure. So you can set the perfect mood, water & light. <br />Auto Temperature Detected Light Color Change! The shower head will automatically change colors according to the temperature of the water. So you always know how the water will feel on your skin just by looking at it.
- When water temperature is below 113'F lights glow BLUE.
- When water temperature is between 114'F - 121'F lights glow RED.
- When water temperature is over 122'F lights flash RED.<br />Never be scalded again by entering a shower that is just too hot!<br />Standard size. Replace your old shower head with this exciting new product. The threading is universal so it will fit any standard shower head by simply unscrewing the old one by hand and attaching the new one. A shower arm is not included. This head can be used with either wall or cieling mounter arm.<br />Modern Stylish Design. Completely polished chrome made to match or stand out from your other bathroom fixtures.<br />High Quality. This modern shower head is made out of brass, not plastic, so its made to last, not just to look good.
<br />",LED5002.jpg
Alfi,"Alfi LED5005 LED5005 10"" Square Multi Color LED Rain Shower Head ","Showerheads, Arms and Flangers",LED5005,LED5005,628586614727,Chrome,250,10,0.33,10,4,"Turn on the fun in your shower just by turning on the water, the LED lights will automatically light up and set the mood. They will even change colors automatically based on the water temperature. All this with no batteries, everything is self-powered by a built in dynamo that takes advantage of the water pressure to create the energy to light the bulbs. <br />No Batteries! This high tech rain shower head powers the LED lights using a built in hidden dynamo. The lights will automatically turn on when water pressure is turned on. The lights will dim and brighten when you lower and raise the pressure. So you can set the perfect mood, water & light. <br />Auto Temperature Detected Light Color Change! The shower head will automatically change colors according to the temperature of the water. So you always know how the water will feel on your skin just by looking at it.
- When water temperature is below 113'F lights glow BLUE.
- When water temperature is between 114'F - 121'F lights glow RED.
- When water temperature is over 122'F lights flash RED.<br />Never be scalded again by entering a shower that is just too hot!<br />Standard size. Replace your old shower head with this exciting new product. The threading is universal so it will fit any standard shower head by simply unscrewing the old one by hand and attaching the new one. A shower arm is not included. This head can be used with either wall or cieling mounter arm.<br />Modern Stylish Design. Completely polished chrome made to match or stand out from your other bathroom fixtures.<br />High Quality. This modern shower head is made out of brass, not plastic, so its made to last, not just to look good.
<br />",LED5005.jpg
Alfi,"Alfi LED5006 LED5006 10"" Round Multi Color LED Rain Shower Head","Showerheads, Arms and Flangers",LED5006,LED5006,628586614734,Chrome,250,10,0.33,10,3,"Turn on the fun in your shower just by turning on the water, the LED lights will automatically light up and set the mood. They will even change colors automatically based on the water temperature. All this with no batteries, everything is self-powered by a built in dynamo that takes advantage of the water pressure to create the energy to light the bulbs. <br />No Batteries! This high tech rain shower head powers the LED lights using a built in hidden dynamo. The lights will automatically turn on when water pressure is turned on. The lights will dim and brighten when you lower and raise the pressure. So you can set the perfect mood, water & light. <br />Auto Temperature Detected Light Color Change! The shower head will automatically change colors according to the temperature of the water. So you always know how the water will feel on your skin just by looking at it.
- When water temperature is below 113'F lights glow BLUE.
- When water temperature is between 114'F - 121'F lights glow RED.
- When water temperature is over 122'F lights flash RED.<br />Never be scalded again by entering a shower that is just too hot!<br />Standard size. Replace your old shower head with this exciting new product. The threading is universal so it will fit any standard shower head by simply unscrewing the old one by hand and attaching the new one. A shower arm is not included. This head can be used with either wall or cieling mounter arm.<br />Modern Stylish Design. Completely polished chrome made to match or stand out from your other bathroom fixtures.<br />High Quality. This modern shower head is made out of brass, not plastic, so its made to last, not just to look good.
<br />",LED5006.jpg
